Date,AAPL,IBM,MCD,KO,PEP,JNJ,ORCL,PFE,WMT
2010-12-23,11.557143,139.474182,76.959999,32.790001,65.690002,62.25,31.540001,16.707781,53.599998
2010-12-27,11.595714,138.94838,76.43,32.535,65.419998,61.93,31.66,16.593927,53.57
2010-12-28,11.623929,139.302109,76.43,32.68,65.279999,62.049999,31.57,16.688805,53.740002
2010-12-29,11.6175,140.076477,76.989998,32.724998,65.330002,62.130001,31.5,16.698292,54.080002
2010-12-30,11.559286,140.219879,76.760002,32.75,65.120003,61.939999,31.290001,16.593927,54.07
2010-12-31,11.52,140.305923,76.760002,32.884998,65.330002,61.849998,31.299999,16.612904,53.93
2011-01-03,11.770357,140.994263,76.599998,32.610001,65.75,62.82,31.620001,16.774195,54.560001
2011-01-04,11.831786,141.147232,74.309998,31.934999,65.410004,63.349998,31.48,17.068312,54.77
2011-01-05,11.928571,140.583176,74.660004,31.745001,66.589996,63.310001,31.040001,17.182163,54.41
2011-01-06,11.918929,142.122375,74.209999,31.514999,66.839996,63.209999,31.17,17.248577,53.959999
2011-01-07,12.004286,141.424469,74.370003,31.459999,66.389999,62.599998,31.030001,17.400379,54.080002
2011-01-10,12.230357,141.147232,73.559998,31.530001,66.050003,62.16,31.040001,17.324478,53.73
2011-01-11,12.201429,140.803055,73.900002,31.344999,66.330002,62.27,30.99,17.286528,54.290001
2011-01-12,12.300714,142.543015,73.599998,31.52,66.730003,62.5,30.940001,17.428843,54.849998
2011-01-13,12.345714,142.27533,72.669998,31.700001,66.910004,62.91,31.18,17.286528,54.790001
2011-01-14,12.445714,143.403442,74.059998,31.565001,66.779999,62.549999,31.25,17.400379,54.810001
2011-01-18,12.166071,144.024857,74.68,31.74,66.57,62.099998,31.530001,17.43833,55.139999
2011-01-19,12.101429,148.843216,75.349998,31.709999,65.900002,62.560001,31.6,17.381405,55.029999
2011-01-20,11.881429,148.94838,75.160004,31.465,65.900002,62.860001,32.310001,17.305504,55.990002
2011-01-21,11.668571,148.661575,75.010002,31.385,65.870003,62.66,32.509998,17.419355,55.73
2011-01-24,12.051786,152.60994,75.379997,31.625,66.18,62.220001,32.400002,17.504744,56.049999
2011-01-25,12.192857,154.340347,75.480003,31.48,65.769997,61.080002,32.290001,17.52372,57.259998
2011-01-26,12.280357,153.957932,75.169998,31.48,65.860001,60.599998,32.560001,17.419355,57.32
2011-01-27,12.2575,153.986618,74.349998,31.35,65.559998,60.68,32.919998,17.533207,57.57
2011-01-28,12.003571,152.20842,73.279999,31.105,64.400002,60.009998,32.0,17.220114,56.700001
2011-01-31,12.118571,154.875717,73.669998,31.424999,64.309998,59.77,32.029999,17.286528,56.07
2011-02-01,12.3225,156.367111,73.470001,31.525,65.050003,60.630001,33.240002,18.235294,56.330002
